time_pct,total_ns,instances,avg_ns,med_ns,min_ns,max_ns,stddev_ns,name
25.6,"2,466,268,459",12,"205,522,371.6","307,231,450.0","13,151","311,924,186","151,780,393.7","void pytorch_flash::flash_bwd_dq_dk_dv_loop_seqk_parallel_kernel<Flash_bwd_kernel_traits<(int)128, …"
18.5,"1,785,582,045",20,"89,279,102.3","110,889,666.0","8,416","114,350,902","45,819,661.2","void pytorch_flash::flash_fwd_kernel<Flash_fwd_kernel_traits<(int)128, (int)128, (int)64, (int)4, (…"
11.1,"1,073,827,783",8,"134,228,472.9","116,874,543.0","27,616","297,250,220","144,772,024.5","void at::native::indexFuncLargeIndex<c10::BFloat16, long, unsigned int, (int)2, (int)2, (int)-2, (b…"
7.1,"681,747,903",64,"10,652,311.0","6,472,861.5","5,350,758","24,073,355","7,604,753.9",ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_tn
4.9,"474,319,018",50,"9,486,380.4","5,712,163.5","289,182","24,950,666","7,258,551.1",ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nt
3.6,"343,546,104",32,"10,735,815.8","5,789,300.5","5,309,734","26,072,187","8,949,183.3",ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
3.0,"286,850,676",32,"8,964,083.6","8,804,741.5","5,823,636","12,343,328","3,100,676.9",ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_tn
2.4,"234,616,000",48,"4,887,833.3","5,052,903.0","3,453,426","6,027,863","881,190.6","void at::native::indexFuncLargeIndex<float, long, unsigned int, (int)2, (int)2, (int)-2, (bool)1, (…"
2.2,"215,450,736",38,"5,669,756.2","4,565,141.0","15,264","32,969,076","6,600,687.4",ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
2.2,"213,145,405",64,"3,330,397.0","2,201,296.0","18,400","26,981,939","4,205,539.8",ncclDevKernel_SendRecv(ncclDevKernelArgsStorage<(unsigned long)4096>)
1.9,"181,276,715",120,"1,510,639.3","2,420,835.5","3,808","4,057,499","1,217,173.6","void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…"
1.5,"147,702,980",16,"9,231,436.3","9,379,321.0","5,740,709","12,877,571","3,327,994.7",ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_nn
1.4,"139,513,761",162,"861,196.1","880,340.5","2,304","1,182,651","238,966.0","void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, std::arr…"
1.2,"118,528,514",16,"7,408,032.1","7,502,044.0","18,047","15,664,244","5,249,802.1",ncclDevKernel_ReduceScatter_Sum_f32_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
1.2,"116,156,140",368,"315,641.7","444,350.0","1,600","1,479,225","328,279.2","void at::native::vectorized_elementwise_kernel<(int)4, at::native::bfloat16_copy_kernel_cuda(at::Te…"
1.1,"102,966,500",286,"360,022.7","23,168.0","2,272","1,766,426","394,196.8",void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
0.9,"82,713,579",84,"984,685.5","941,525.0","3,648","2,587,154","602,368.3","void at::native::<unnamed>::vectorized_layer_norm_kernel<float, float, (bool)1>(int, T2, const T1 *…"
0.8,"76,687,769",80,"958,597.1","872,971.5","754,859","1,570,391","184,787.2","void at::native::<unnamed>::CatArrayBatchedCopy<at::native::<unnamed>::OpaqueType<(unsigned int)4>,…"
0.8,"73,442,850",82,"895,644.5","878,516.0","860,749","1,157,584","61,951.4","void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, floa…"
0.7,"62,845,153",100,"628,451.5","643,677.0","2,624","1,155,002","138,516.4","void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…"
0.5,"46,721,890",52,"898,497.9","1,303,590.5","3,488","1,434,872","652,459.4","void at::native::<unnamed>::layer_norm_grad_input_kernel_vectorized<float, float, (bool)1>(const T1…"
0.5,"44,505,586",96,"463,599.9","682,314.0","3,904","751,179","322,661.9","void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::n…"
0.4,"43,297,560",14,"3,092,682.9","3,824,253.5","1,547,800","4,048,987","1,030,038.5","void at::native::detail::chunk_cat_cuda_kernel<float, c10::BFloat16>(T2 **, T1 *, long *, long *, l…"
0.4,"43,054,610",28,"1,537,664.6","1,907,001.0","213,539","2,605,670","683,105.9","at::native::detail::split_with_sizes_copy_out_contiguous_no_cast_kernel(char **, char **, long *, l…"
0.4,"40,568,444",26,"1,560,324.8","2,369,730.0","3,391","2,447,908","1,103,285.9",void at::native::<unnamed>::CatArrayBatchedCopy_vectorized<at::native::<unnamed>::OpaqueType<(unsig…
0.4,"36,469,262",344,"106,015.3","92,080.5","28,032","225,187","41,248.5",void at::native::<unnamed>::multi_tensor_apply_kernel<at::native::<unnamed>::TensorListMetadata<(in…
0.4,"35,830,346",40,"895,758.7","1,457,893.5","4,512","1,532,889","732,919.4","void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::n…"
0.4,"35,614,347",44,"809,417.0","809,740.0","773,451","833,676","12,921.3","void at::native::unrolled_elementwise_kernel<at::native::BinaryFunctor<float, float, float, at::nat…"
0.4,"34,859,521",68,"512,640.0","643,341.0","19,456","1,039,258","282,289.4","void at::native::reduce_kernel<(int)128, (int)4, at::native::ReduceOp<float, at::native::func_wrapp…"
0.4,"34,064,060",110,"309,673.3","296,814.5","3,136","1,259,578","166,023.0","void at::native::vectorized_gather_kernel<(int)16, long>(char *, char *, T2 *, int, long, long, lon…"
0.3,"30,518,217",14,"2,179,872.6","2,120,747.0","232,451","4,355,914","1,361,791.1","void <unnamed>::oneRankReduce<FuncPreMulSum<float>>(void *, void *, unsigned long, unsigned long, b…"
0.2,"23,863,694",20,"1,193,184.7","1,465,589.0","5,791","1,540,760","609,564.3","void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::n…"
0.2,"21,543,459",164,"131,362.6","131,263.0","109,858","143,263","2,622.9",void at::native::<unnamed>::multi_tensor_apply_kernel<at::native::<unnamed>::TensorListScalarListMe…
0.2,"20,411,558",106,"192,561.9","2,752.0","1,408","1,121,595","302,647.6","void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, std::array<c…"
0.2,"20,079,709",44,"456,357.0","588,050.5","1,535","807,452","287,546.7","void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<float>, st…"
0.2,"19,036,032",16,"1,189,752.0","1,189,818.5","3,425","2,373,685","1,212,967.7",void at::native::<unnamed>::CatArrayBatchedCopy_vectorized<at::native::<unnamed>::OpaqueType<(unsig…
0.2,"16,732,485",48,"348,593.4","323,189.0","315,717","1,346,008","148,230.9","void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…"
0.2,"16,559,947",164,"100,975.3","101,135.5","84,129","104,354","2,061.5",void at::native::<unnamed>::multi_tensor_apply_kernel<at::native::<unnamed>::TensorListMetadata<(in…
0.2,"16,388,334",164,"99,928.9","100,016.5","82,816","103,009","2,023.0",void at::native::<unnamed>::multi_tensor_apply_kernel<at::native::<unnamed>::TensorListMetadata<(in…
0.1,"13,791,268",12,"1,149,272.3","1,710,648.5","5,697","1,741,016","844,409.7","void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::n…"
0.1,"12,746,107",12,"1,062,175.6","1,587,880.0","3,744","1,595,831","779,767.0",void at::native::<unnamed>::CatArrayBatchedCopy_vectorized<at::native::<unnamed>::OpaqueType<(unsig…
0.1,"12,450,047",16,"778,127.9","778,452.5","773,419","781,212","1,930.6","void at::native::<unnamed>::GammaBetaBackwardCUDAKernelTemplate<float, float, (unsigned int)32, (un…"
0.1,"12,307,837",16,"769,239.8","651,682.0","399,238","1,508,950","422,681.5",ampere_bf16_s16816gemm_bf16_128x64_ldg8_relu_f2f_stages_64x3_tn
0.1,"11,880,948",164,"72,444.8","72,272.5","61,505","89,280","2,450.0",void at::native::<unnamed>::multi_tensor_apply_kernel<at::native::<unnamed>::TensorListScalarListMe…
0.1,"11,715,842",164,"71,438.1","71,295.5","61,409","73,952","1,336.2",void at::native::<unnamed>::multi_tensor_apply_kernel<at::native::<unnamed>::TensorListMetadata<(in…
0.1,"11,640,246",164,"70,977.1","71,072.5","59,553","73,919","1,583.1",void at::native::<unnamed>::multi_tensor_apply_kernel<at::native::<unnamed>::TensorListMetadata<(in…
0.1,"11,637,910",164,"70,962.9","71,007.0","58,881","74,175","1,705.2",void at::native::<unnamed>::multi_tensor_apply_kernel<at::native::<unnamed>::TensorListMetadata<(in…
0.1,"10,895,576",26,"419,060.6","598,621.5","6,176","605,129","277,614.1","void at::native::<unnamed>::GammaBetaBackwardCUDAKernelTemplate<float, float, (unsigned int)32, (un…"
0.1,"9,357,198",12,"779,766.5","1,164,907.0","2,976","1,171,322","572,740.0","void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<c10::BFloat16, c10…"
0.1,"7,937,256",40,"198,431.4","118,736.5","6,112","505,757","176,608.2",ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_stages_32x1_nt
0.1,"6,549,504",12,"545,792.0","809,148.0","4,225","827,388","396,000.9","void pytorch_flash::flash_bwd_dot_do_o_kernel<(bool)1, Flash_bwd_kernel_traits<(int)128, (int)64, (…"
0.1,"4,881,271",12,"406,772.6","604,937.0","4,480","610,076","295,165.2","void pytorch_flash::flash_bwd_convert_dq_kernel<Flash_bwd_kernel_traits<(int)128, (int)64, (int)128…"
0.0,"3,565,746",24,"148,572.8","126,112.5","77,503","359,039","81,829.6",ampere_bf16_s16816gemm_bf16_256x64_ldg8_f2f_stages_64x3_nn
0.0,"3,278,861",24,"136,619.2","4,592.0","2,848","401,214","189,649.7",void at::native::<unnamed>::CatArrayBatchedCopy_vectorized<at::native::<unnamed>::OpaqueType<(unsig…
0.0,"3,041,616",8,"380,202.0","379,858.0","377,695","383,141","2,020.2",void cutlass::Kernel2<cutlass_80_tensorop_s16816gemm_bf16_256x64_64x3_nn_align8>(T1::Params)
0.0,"3,030,928",38,"79,761.3","17,392.0","1,377","186,531","86,482.9","void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<c10::BFloat16>, std:…"
0.0,"2,866,220",6,"477,703.3","15,344.0","6,113","1,496,184","725,292.2","void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::index_copy_kernel_impl…"
0.0,"2,440,108",8,"305,013.5","2,432.0","1,632","1,214,130","560,746.3","void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, floa…"
0.0,"1,938,345",4,"484,586.3","486,515.0","395,270","570,045","89,162.7",ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_stages_32x1_nn
0.0,"1,793,929",4,"448,482.3","448,230.5","12,832","884,636","502,971.9","void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::index_fill_kernel_impl…"
0.0,"1,708,033",2,"854,016.5","854,016.5","513,735","1,194,298","481,230.7",ampere_bf16_s1688gemm_bf16_128x128_ldg8_relu_f2f_stages_32x1_tn
0.0,"1,687,800",2,"843,900.0","843,900.0","8,096","1,679,704","1,182,005.4",ncclDevKernel_AllReduce_Sum_f64_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
0.0,"1,640,837",96,"17,092.1","13,872.0","5,728","55,777","12,670.0","void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl<at::native::…"
0.0,"1,639,336",2,"819,668.0","819,668.0","811,948","827,388","10,917.7","void at::native::unrolled_elementwise_kernel<at::native::CUDAFunctor_add<float>, std::array<char *,…"
0.0,"1,429,224",24,"59,551.0","8,336.0","4,736","537,416","143,529.9","void at::native::reduce_kernel<(int)128, (int)4, at::native::ReduceOp<c10::BFloat16, at::native::fu…"
0.0,"1,267,848",34,"37,289.6","3,456.0","2,049","553,352","125,638.8","void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<c10::BFloat16>, …"
0.0,"1,084,133",2,"542,066.5","542,066.5","537,384","546,749","6,622.1",ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_nt
0.0,"1,051,428",12,"87,619.0","71,871.0","64,545","143,359","32,773.2",ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_64x4_tn
0.0,"908,515",4,"227,128.8","227,056.5","226,147","228,255","1,074.6",ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn
0.0,"592,515",2,"296,257.5","296,257.5","295,967","296,548",410.8,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<c10::BFloa…"
0.0,"500,803",4,"125,200.8","125,296.5","121,986","128,224","2,971.6",ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_64x3_tn
0.0,"478,338",4,"119,584.5","120,512.5","86,975","150,338","26,590.4",ncclDevKernel_ReduceScatter_Sum_bf16_RING_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)
0.0,"425,090",2,"212,545.0","212,545.0","211,747","213,343","1,128.5",ampere_bf16_s16816gemm_bf16_256x64_ldg8_f2f_stages_64x3_nt
0.0,"404,002",38,"10,631.6","4,096.0","3,296","54,688","13,876.3","void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, __nv_bfloat16, __nv_bfloat16, float, (boo…"
0.0,"388,610",2,"194,305.0","194,305.0","194,051","194,559",359.2,ampere_bf16_s16816gemm_bf16_128x256_ldg8_relu_f2f_stages_64x3_tn
0.0,"341,313",2,"170,656.5","170,656.5","169,890","171,423","1,084.0",ampere_bf16_s16816gemm_bf16_64x128_ldg8_relu_f2f_stages_64x4_tn
0.0,"283,297",4,"70,824.3","70,305.0","68,863","73,824","2,253.0",ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn
0.0,"172,802",20,"8,640.1","5,488.0","2,687","31,169","7,637.6","void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::silu_kernel(at::Tenso…"
0.0,"134,913",2,"67,456.5","67,456.5","65,281","69,632","3,076.6",ampere_bf16_s16816gemm_bf16_256x64_ldg8_f2f_stages_64x3_tn
0.0,"125,217",2,"62,608.5","62,608.5","62,241","62,976",519.7,ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_relu_f2f_stages_64x5_tn
0.0,"88,257",4,"22,064.3","22,032.0","3,873","40,320","20,914.1","void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…"
0.0,"88,097",2,"44,048.5","44,048.5","43,904","44,193",204.4,void cutlass::Kernel2<cutlass_80_tensorop_s16816gemm_bf16_64x64_64x6_nn_align8>(T1::Params)
0.0,"83,458",10,"8,345.8","3,152.5","3,040","20,000","7,202.9","void at::native::<unnamed>::GammaBetaBackwardCUDAKernelTemplate<float, float, (unsigned int)32, (un…"
0.0,"80,064",2,"40,032.0","40,032.0","39,937","40,127",134.4,ampere_bf16_s16816gemm_bf16_64x64_ldg8_f2f_stages_64x5_nn
0.0,"75,905",2,"37,952.5","37,952.5","36,737","39,168","1,719.0",void cutlass::Kernel2<cutlass_80_tensorop_s16816gemm_bf16_64x64_64x6_tn_align8>(T1::Params)
0.0,"57,248",4,"14,312.0","14,320.0","2,656","25,952","13,403.8","void at::native::vectorized_elementwise_kernel<(int)4, at::native::mse_kernel_cuda(at::TensorIterat…"
0.0,"52,193",2,"26,096.5","26,096.5","20,928","31,265","7,309.4",ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x5_nt
0.0,"51,456",4,"12,864.0","12,816.0","2,848","22,976","11,547.4","void at::native::<unnamed>::distribution_elementwise_grid_stride_kernel<float, (int)4, void at::nat…"
0.0,"42,498",4,"10,624.5","10,529.0","2,431","19,009","9,442.9","void at::native::vectorized_elementwise_kernel<(int)4, at::native::sin_kernel_cuda(at::TensorIterat…"
0.0,"42,143",12,"3,511.9","3,616.0","3,008","3,808",286.4,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::silu_backward_kernel(…"
0.0,"42,019",8,"5,252.4","5,168.0","2,433","8,256","2,667.2","void at::native::vectorized_elementwise_kernel<(int)4, at::native::neg_kernel_cuda(at::TensorIterat…"
0.0,"41,441",4,"10,360.3","10,464.5","5,696","14,816","4,786.2","void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MeanOps<fl…"
0.0,"37,471",10,"3,747.1","3,840.0","3,199","4,063",299.0,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, float, __nv_bfloat16, float, (bool)0, __n…"
0.0,"36,322",4,"9,080.5","8,688.5","2,816","16,129","7,244.7","void at::native::vectorized_elementwise_kernel<(int)4, at::native::cos_kernel_cuda(at::TensorIterat…"
0.0,"28,640",4,"7,160.0","6,912.0","3,136","11,680","4,479.3","void at::native::<unnamed>::CatArrayBatchedCopy<at::native::<unnamed>::OpaqueType<(unsigned int)4>,…"
0.0,"22,720",2,"11,360.0","11,360.0","10,752","11,968",859.8,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<double, at::native::func_wrap…"
0.0,"21,378",12,"1,781.5","1,711.5","1,569","2,017",174.4,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, floa…"
