time_pct,total_ns,instances,avg_ns,med_ns,min_ns,max_ns,stddev_ns,name
53.1,"2,137,427,123",16,"133,589,195.2","39,031,198.0","2,610,008","805,907,087","211,444,374.3",minimax_h3.transformer_block.self_attention
26.1,"1,050,877,410",2,"525,438,705.0","525,438,705.0","242,831,181","808,046,229","399,667,393.3",minimax_h3.transformer_block.2
10.7,"429,673,521",2,"214,836,760.5","214,836,760.5","6,761,299","422,912,222","294,263,139.7",minimax_h3.transformer_block.1
5.1,"206,040,862",2,"103,020,431.0","103,020,431.0","52,310,896","153,729,966","71,714,112.1",minimax_h3.transformer_block.3
2.6,"102,689,529",32,"3,209,047.8","347,758.0","199,783","42,259,907","10,191,487.3",minimax_h3.transformer_block.no_modulate_fusion
2.0,"78,579,318",2,"39,289,659.0","39,289,659.0","32,135,602","46,443,716","10,117,364.4",minimax_h3.transformer_block.0
0.2,"6,763,923",16,"422,745.2","389,716.5","247,843","979,968","224,946.5",minimax_h3.transformer_block.adaln_projection
0.1,"4,460,863",16,"278,803.9","304,533.0","163,291","414,138","67,798.8",minimax_h3.transformer_block.feed_forward
0.1,"2,687,100",64,"41,985.9","44,028.0","21,568","65,902","11,028.7",NCCL:ncclAlltoAll
0.1,"2,052,713",38,"54,018.8","48,199.0","18,438","110,931","24,591.1",NCCL:ncclAllGather
0.0,"1,438,425",20,"71,921.3","69,347.5","41,161","116,860","18,451.8",NCCL:ncclReduceScatter
0.0,"457,731",16,"28,608.2","19,440.0","9,548","87,572","20,957.0",NCCL:ncclAllReduce
0.0,"122,593",2,"61,296.5","61,296.5","59,907","62,686","1,965.0",NCCL:ncclBroadcast
