key,count,self_device_time_us,self_cpu_time_us,flops
ProfilerStep*,1,4330357.668,0,0
aten::_flash_attention_backward,6,1251202.5719999997,105.81399999721907,0
"void pytorch_flash::flash_bwd_dq_dk_dv_loop_seqk_parallel_kernel<Flash_bwd_kernel_traits<128, 64, 128, 8, 2, 4, 2, false, false, cutlass::bfloat16_t, Flash_kernel_traits<128, 64, 128, 8, cutlass::bfloat16_t> >, false, false, false, false, false, true, false>(pytorch_flash::Flash_bwd_params)",6,1245464.6639999996,0,0
forward,1,1127515.671,0,0
aten::mm,152,980432.266000001,30931.07299999376,232792699797504
aten::_flash_attention_forward,10,902776.4290000002,222.18100000156846,0
"void pytorch_flash::flash_fwd_kernel<Flash_fwd_kernel_traits<128, 128, 64, 4, false, false, cutlass::bfloat16_t, Flash_kernel_traits<128, 128, 64, 4, cutlass::bfloat16_t> >, false, false, false, false, false, true, false, false>(pytorch_flash::Flash_fwd_params)",10,902776.4290000002,0,0
aten::index_add_,28,623407.4010000012,269.10400000063237,0
"void at::native::indexFuncLargeIndex<c10::BFloat16, long, unsigned int, 2, 2, -2, true, 4, at::native::(anonymous namespace)::ReduceAdd>(at::cuda::detail::TensorInfo<c10::BFloat16, unsigned int>, at::cuda::detail::TensorInfo<c10::BFloat16 const, unsigned int>, at::cuda::detail::TensorInfo<long const, unsigned int>, int, int, unsigned int, unsigned int, long, long, at::native::(anonymous namespace)::ReduceAdd const&, c10::BFloat16, at::cuda::detail::IntDivider<unsigned int>)",4,506316.11000000034,0,0
ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_tn,32,339203.73800000123,0,0
record_param_comms,70,306811.90799999866,5951.2219999987865,0
ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nt,25,237897.82800000254,0,0
aten::copy_,551,223858.70599999768,11132.367000003389,0
ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn,16,171938.598,0,0
ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_tn,16,145547.64599999983,0,0
"void at::native::indexFuncLargeIndex<float, long, unsigned int, 2, 2, -2, true, 4, at::native::(anonymous namespace)::ReduceAdd>(at::cuda::detail::TensorInfo<float, unsigned int>, at::cuda::detail::TensorInfo<float const, unsigned int>, at::cuda::detail::TensorInfo<long const, unsigned int>, int, int, unsigned int, unsigned int, long, long, at::native::(anonymous namespace)::ReduceAdd const&, float, at::cuda::detail::IntDivider<unsigned int>)",24,117091.2910000009,0,0
ncclDevKernel_SendRecv(ncclDevKernelArgsStorage<4096ul>),32,113871.4169999991,0,0
nccl:all_to_all,32,113871.4169999991,0,0
aten::mul,150,111239.65700000372,14408.874000006297,15992220950
aten::cat,104,97368.33599999876,211884.9640000004,0
"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int)#1})",60,89759.25299999933,0,0
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>),19,89175.87299999938,0,0
nccl:_all_gather_base,19,89175.87299999938,0,0
nccl:_reduce_scatter_base,10,84485.5820000004,0,0
ncclDevKernel_ReduceScatter_Sum_f32_RING_LL(ncclDevKernelArgsStorage<4096ul>),8,84252.66100000031,0,0
ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_nn,8,75599.22699999949,0,0
"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul> >(int, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul>)",81,70279.4210000005,0,0
"void at::native::vectorized_elementwise_kernel<4, at::native::bfloat16_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::bfloat16_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(float)#1}, std::array<char*, 2ul>)",184,57817.14000000506,0,0
aten::add,80,51664.239000000714,23763.05299999843,6393555999
Optimizer.step#AdamW.step,1,51612.333000000566,0,0
"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>, 4, TrivialOffsetCalculator<1, unsigned int>, char*, at::native::memory::LoadWithCast<1>, std::array<char*, 2ul>::StoreWithCast<1> >(int, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>, TrivialOffsetCalculator<1, unsigned int>, char*, at::native::memory::LoadWithCast<1>, std::array<char*, 2ul>::StoreWithCast<1>)",143,50672.4629999983,0,0
main_transformer/FFN-GateUp/transformer_blocks.2._checkpoint_wrapped_module.ff.fc_in,2,48489.611999999965,0,0
main_transformer/FFN-GateUp/transformer_blocks.1._checkpoint_wrapped_module.ff.fc_in,2,48271.12200000009,0,0
main_transformer/FFN-GateUp/transformer_blocks.0._checkpoint_wrapped_module.ff.fc_in,2,48244.75599999953,0,0
main_transformer/FFN-GateUp/transformer_blocks.3._checkpoint_wrapped_module.ff.fc_in,2,48058.4580000001,0,0
aten::_fused_rms_norm,42,40495.16099999918,1548.6469999979454,0
"void at::native::(anonymous namespace)::vectorized_layer_norm_kernel<float, float, true>(int, float, float const*, float const*, float const*, float*, float*, float*)",42,40495.16099999918,0,0
"void at::native::(anonymous namespace)::CatArrayBatchedCopy<at::native::(anonymous namespace)::OpaqueType<4u>, unsigned int, 4, 64, 64>(at::native::(anonymous namespace)::OpaqueType<4u>*, at::native::(anonymous namespace)::CatArrInputTensorMetadata<at::native::(anonymous namespace)::OpaqueType<4u>, unsigned int, 64, 64>, at::native::(anonymous namespace)::TensorSizeStride<unsigned int, 4u>, int, unsigned int)",40,39674.6780000001,0,0
"void at::native::vectorized_elementwise_kernel<4, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 3ul> >(int, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 3ul>)",41,36814.34499999987,0,0
aten::_fused_rms_norm_backward,26,34953.574000000255,354.9210000014864,0
"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1})",50,33811.112000002235,0,0
aten::add_,130,30495.751999998232,446.18400000431575,0
main_transformer/V/transformer_blocks.0._checkpoint_wrapped_module.attn.to_v,2,25065.259999999864,0,0
main_transformer/FFN-Down/transformer_blocks.3._checkpoint_wrapped_module.ff.fc_out,2,24831.155999999726,0,0
main_transformer/FFN-Down/transformer_blocks.1._checkpoint_wrapped_module.ff.fc_out,2,24525.1810000001,0,0
main_transformer/FFN-Down/transformer_blocks.0._checkpoint_wrapped_module.ff.fc_out,2,24337.506000000227,0,0
main_transformer/FFN-Down/transformer_blocks.2._checkpoint_wrapped_module.ff.fc_out,2,24055.595999999903,0,0
"void at::native::(anonymous namespace)::layer_norm_grad_input_kernel_vectorized<float, float, true>(float const*, float const*, float const*, float const*, float const*, float*, int)",26,23267.68800000078,0,0
"void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#12}::operator()() const::{lambda(c10::BFloat16)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#12}::operator()() const::{lambda(c10::BFloat16)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#12}::operator()() const::{lambda(c10::BFloat16)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#12}::operator()() const::{lambda(c10::BFloat16)#1} const&)::{lambda(int)#1})",48,22384.474999998478,0,0
aten::split_with_sizes_copy,14,21339.134999999616,520.6069999994506,0
"at::native::detail::split_with_sizes_copy_out_contiguous_no_cast_kernel(char**, char**, long*, long*, long*, long, long)",14,21339.134999999616,0,0
Memcpy DtoD (Device -> Device),42,20478.265999998766,0,0
aten::_chunk_cat,7,20384.88900000183,13438.051999997348,0
"void at::native::detail::chunk_cat_cuda_kernel<float, c10::BFloat16>(c10::BFloat16**, float*, long*, long*, long*, long*, long*, long*, long, long, long)",7,20384.88900000183,0,0
"void at::native::(anonymous namespace)::CatArrayBatchedCopy_vectorized<at::native::(anonymous namespace)::OpaqueType<4u>, unsigned int, 2, 128, 1, 16, 4>(char*, at::native::(anonymous namespace)::CatArrInputTensorMetadata<at::native::(anonymous namespace)::OpaqueType<4u>, unsigned int, 128, 1>, at::native::(anonymous namespace)::TensorSizeStride<unsigned int, 4u>, int, unsigned int)",13,20353.242999999304,0,0
aten::_foreach_copy_,14,19318.49999999872,579.0590000007942,0
"void at::native::(anonymous namespace)::multi_tensor_apply_kernel<at::native::(anonymous namespace)::TensorListMetadata<2>, at::native::(anonymous namespace)::UnaryOpFunctor<c10::BFloat16, 2, 1, 1>, at::native::Copy<c10::BFloat16, c10::BFloat16> >(at::native::(anonymous namespace)::TensorListMetadata<2>, at::native::(anonymous namespace)::UnaryOpFunctor<c10::BFloat16, 2, 1, 1>, at::native::Copy<c10::BFloat16, c10::BFloat16>)",172,19318.49999999872,0,0
nccl:all_reduce,8,19269.691999999806,0,0
main_transformer/K/transformer_blocks.0._checkpoint_wrapped_module.attn.to_k,2,18248.82800000056,0,0
"void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1})",20,18084.413000001485,0,0
aten::sum,49,18006.695999998366,733.0430000021151,0
"void at::native::unrolled_elementwise_kernel<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 3ul>, 4, TrivialOffsetCalculator<2, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<2>, at::native::memory::StoreWithCast<1> >(int, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 3ul>, TrivialOffsetCalculator<2, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<2>, at::native::memory::StoreWithCast<1>)",22,17839.52699999971,0,0
"void at::native::reduce_kernel<128, 4, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator()(at::TensorIterator&)::{lambda(float, float)#1}>, unsigned int, float, 4, 4> >(at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator()(at::TensorIterator&)::{lambda(float, float)#1}>, unsigned int, float, 4, 4>)",34,17505.010999997612,0,0
aten::gather,55,17415.667999999583,701.7569999987027,0
"void at::native::vectorized_gather_kernel<16, long>(char*, char*, long*, int, long, long, long, long, bool)",55,17415.667999999583,0,0
main_transformer/Q/transformer_blocks.2._checkpoint_wrapped_module.attn.to_q,2,16673.41800000018,0,0
main_transformer/Q/transformer_blocks.1._checkpoint_wrapped_module.attn.to_q,2,15816.964000000036,0,0
main_transformer/K/transformer_blocks.2._checkpoint_wrapped_module.attn.to_k,2,15279.220000000088,0,0
__nv_static_32__b4148644_10_onerank_cu_fdf47990__ZN43_GLOBAL__N__b4148644_10_onerank_cu_fdf4799013oneRankReduceI13FuncPreMulSumIfEEEvPvS3_mmb,7,14840.544999999925,0,0
main_transformer/K/transformer_blocks.1._checkpoint_wrapped_module.attn.to_k,2,13991.54599999974,0,0
main_transformer/O/transformer_blocks.2._checkpoint_wrapped_module.attn.to_out,2,13281.391999999993,0,0
main_transformer/V/transformer_blocks.2._checkpoint_wrapped_module.attn.to_v,2,13268.465000000084,0,0
main_transformer/O/transformer_blocks.3._checkpoint_wrapped_module.attn.to_out,2,13125.397000000114,0,0
main_transformer/O/transformer_blocks.1._checkpoint_wrapped_module.attn.to_out,2,13106.517000000109,0,0
main_transformer/O/transformer_blocks.0._checkpoint_wrapped_module.attn.to_out,2,13096.340999999898,0,0
main_transformer/Q/transformer_blocks.3._checkpoint_wrapped_module.attn.to_q,2,13070.295000000042,0,0
main_transformer/V/transformer_blocks.1._checkpoint_wrapped_module.attn.to_v,2,13054.870000000112,0,0
