workload_id,replay_phase,scope,op_role,kind,m,n,k,dtype_observed,executed_dtype,layout,lhs_shape,lhs_stride,lhs_align256,rhs_shape,rhs_stride,rhs_align256
text_refiner/Q/Fwd/11x7168x5376/float32,A,text_refiner,Q,Fwd,11,7168,5376,float32,bfloat16(autocast),NT,"[11, 5376]","[5376, 1]",True,"[7168, 5376]","[5376, 1]",True
text_refiner/K/Fwd/11x7168x5376/float32,A,text_refiner,K,Fwd,11,7168,5376,float32,bfloat16(autocast),NT,"[11, 5376]","[5376, 1]",True,"[7168, 5376]","[5376, 1]",True
text_refiner/V/Fwd/11x7168x5376/float32,A,text_refiner,V,Fwd,11,7168,5376,float32,bfloat16(autocast),NT,"[11, 5376]","[5376, 1]",True,"[7168, 5376]","[5376, 1]",True
text_refiner/O/Fwd/11x5376x7168/float32,A,text_refiner,O,Fwd,11,5376,7168,float32,bfloat16(autocast),NT,"[11, 7168]","[7168, 1]",True,"[5376, 7168]","[7168, 1]",True
text_refiner/FFN-GateUp/Fwd/11x28672x5376/float32,A,text_refiner,FFN-GateUp,Fwd,11,28672,5376,float32,bfloat16(autocast),NT,"[11, 5376]","[5376, 1]",True,"[28672, 5376]","[5376, 1]",True
text_refiner/FFN-Down/Fwd/11x5376x14336/bfloat16,A,text_refiner,FFN-Down,Fwd,11,5376,14336,bfloat16,bfloat16,NT,"[11, 14336]","[14336, 1]",True,"[5376, 14336]","[14336, 1]",True
main_transformer/AdaLN-block/Fwd/2x96768x2688/bfloat16,A,main_transformer,AdaLN-block,Fwd,2,96768,2688,bfloat16,bfloat16,NT,"[2, 2688]","[2688, 1]",True,"[96768, 2688]","[2688, 1]",True
main_transformer/Q/Fwd/18866x7168x5376/float32,A,main_transformer,Q,Fwd,18866,7168,5376,float32,bfloat16(autocast),NT,"[18866, 5376]","[5376, 1]",True,"[7168, 5376]","[5376, 1]",True
main_transformer/K/Fwd/18866x7168x5376/float32,A,main_transformer,K,Fwd,18866,7168,5376,float32,bfloat16(autocast),NT,"[18866, 5376]","[5376, 1]",True,"[7168, 5376]","[5376, 1]",True
main_transformer/V/Fwd/18866x7168x5376/float32,A,main_transformer,V,Fwd,18866,7168,5376,float32,bfloat16(autocast),NT,"[18866, 5376]","[5376, 1]",True,"[7168, 5376]","[5376, 1]",True
main_transformer/O/Fwd/18866x5376x7168/float32,A,main_transformer,O,Fwd,18866,5376,7168,float32,bfloat16(autocast),NT,"[18866, 7168]","[7168, 1]",True,"[5376, 7168]","[7168, 1]",True
main_transformer/FFN-GateUp/Fwd/18866x28672x5376/float32,A,main_transformer,FFN-GateUp,Fwd,18866,28672,5376,float32,bfloat16(autocast),NT,"[18866, 5376]","[5376, 1]",True,"[28672, 5376]","[5376, 1]",True
main_transformer/FFN-Down/Fwd/18866x5376x14336/bfloat16,A,main_transformer,FFN-Down,Fwd,18866,5376,14336,bfloat16,bfloat16,NT,"[18866, 14336]","[14336, 1]",True,"[5376, 14336]","[14336, 1]",True
final/AdaLN-out/Fwd/2x10752x2688/bfloat16,A,final,AdaLN-out,Fwd,2,10752,2688,bfloat16,bfloat16,NT,"[2, 2688]","[2688, 1]",True,"[10752, 2688]","[2688, 1]",True
final/AdaLN-out/Dgrad/2x2688x10752/bfloat16,A,final,AdaLN-out,Dgrad,2,2688,10752,bfloat16,bfloat16,NN,"[2, 10752]","[10752, 1]",True,"[10752, 2688]","[2688, 1]",True
final/AdaLN-out/Wgrad/10752x2688x2/bfloat16,A,final,AdaLN-out,Wgrad,10752,2688,2,bfloat16,bfloat16,TN,"[2, 10752]","[10752, 1]",True,"[2, 2688]","[2688, 1]",True
main_transformer/FFN-Down/Dgrad/18866x14336x5376/bfloat16,A,main_transformer,FFN-Down,Dgrad,18866,14336,5376,bfloat16,bfloat16,NN,"[18866, 5376]","[5376, 1]",True,"[5376, 14336]","[14336, 1]",True
main_transformer/FFN-Down/Wgrad/5376x14336x18866/bfloat16,A,main_transformer,FFN-Down,Wgrad,5376,14336,18866,bfloat16,bfloat16,TN,"[18866, 5376]","[5376, 1]",True,"[18866, 14336]","[14336, 1]",True
main_transformer/FFN-GateUp/Dgrad/18866x5376x28672/bfloat16,A,main_transformer,FFN-GateUp,Dgrad,18866,5376,28672,bfloat16,bfloat16,NN,"[18866, 28672]","[28672, 1]",True,"[28672, 5376]","[5376, 1]",True
main_transformer/FFN-GateUp/Wgrad/28672x5376x18866/bfloat16,A,main_transformer,FFN-GateUp,Wgrad,28672,5376,18866,bfloat16,bfloat16,TN,"[18866, 28672]","[28672, 1]",True,"[18866, 5376]","[5376, 1]",True
main_transformer/O/Dgrad/18866x7168x5376/bfloat16,A,main_transformer,O,Dgrad,18866,7168,5376,bfloat16,bfloat16,NN,"[18866, 5376]","[5376, 1]",True,"[5376, 7168]","[7168, 1]",True
main_transformer/O/Wgrad/5376x7168x18866/bfloat16,A,main_transformer,O,Wgrad,5376,7168,18866,bfloat16,bfloat16,TN,"[18866, 5376]","[5376, 1]",True,"[18866, 7168]","[7168, 1]",True
main_transformer/V/Dgrad/18866x5376x7168/bfloat16,A,main_transformer,V,Dgrad,18866,5376,7168,bfloat16,bfloat16,NN,"[18866, 7168]","[7168, 1]",True,"[7168, 5376]","[5376, 1]",True
main_transformer/V/Wgrad/7168x5376x18866/bfloat16,A,main_transformer,V,Wgrad,7168,5376,18866,bfloat16,bfloat16,TN,"[18866, 7168]","[7168, 1]",True,"[18866, 5376]","[5376, 1]",True
main_transformer/K/Dgrad/18866x5376x7168/bfloat16,A,main_transformer,K,Dgrad,18866,5376,7168,bfloat16,bfloat16,NN,"[18866, 7168]","[7168, 1]",True,"[7168, 5376]","[5376, 1]",True
main_transformer/K/Wgrad/7168x5376x18866/bfloat16,A,main_transformer,K,Wgrad,7168,5376,18866,bfloat16,bfloat16,TN,"[18866, 7168]","[7168, 1]",True,"[18866, 5376]","[5376, 1]",True
main_transformer/Q/Dgrad/18866x5376x7168/bfloat16,A,main_transformer,Q,Dgrad,18866,5376,7168,bfloat16,bfloat16,NN,"[18866, 7168]","[7168, 1]",True,"[7168, 5376]","[5376, 1]",True
main_transformer/Q/Wgrad/7168x5376x18866/bfloat16,A,main_transformer,Q,Wgrad,7168,5376,18866,bfloat16,bfloat16,TN,"[18866, 7168]","[7168, 1]",True,"[18866, 5376]","[5376, 1]",True
main_transformer/AdaLN-block/Dgrad/2x2688x96768/bfloat16,A,main_transformer,AdaLN-block,Dgrad,2,2688,96768,bfloat16,bfloat16,NN,"[2, 96768]","[96768, 1]",True,"[96768, 2688]","[2688, 1]",True
main_transformer/AdaLN-block/Wgrad/96768x2688x2/bfloat16,A,main_transformer,AdaLN-block,Wgrad,96768,2688,2,bfloat16,bfloat16,TN,"[2, 96768]","[96768, 1]",True,"[2, 2688]","[2688, 1]",True
text_refiner/FFN-Down/Dgrad/11x14336x5376/bfloat16,A,text_refiner,FFN-Down,Dgrad,11,14336,5376,bfloat16,bfloat16,NN,"[11, 5376]","[5376, 1]",True,"[5376, 14336]","[14336, 1]",True
text_refiner/FFN-Down/Wgrad/5376x14336x11/bfloat16,A,text_refiner,FFN-Down,Wgrad,5376,14336,11,bfloat16,bfloat16,TN,"[11, 5376]","[5376, 1]",True,"[11, 14336]","[14336, 1]",True
text_refiner/FFN-GateUp/Dgrad/11x5376x28672/bfloat16,A,text_refiner,FFN-GateUp,Dgrad,11,5376,28672,bfloat16,bfloat16,NN,"[11, 28672]","[28672, 1]",True,"[28672, 5376]","[5376, 1]",True
text_refiner/FFN-GateUp/Wgrad/28672x5376x11/bfloat16,A,text_refiner,FFN-GateUp,Wgrad,28672,5376,11,bfloat16,bfloat16,TN,"[11, 28672]","[28672, 1]",True,"[11, 5376]","[5376, 1]",True
text_refiner/O/Dgrad/11x7168x5376/bfloat16,A,text_refiner,O,Dgrad,11,7168,5376,bfloat16,bfloat16,NN,"[11, 5376]","[5376, 1]",True,"[5376, 7168]","[7168, 1]",True
text_refiner/O/Wgrad/5376x7168x11/bfloat16,A,text_refiner,O,Wgrad,5376,7168,11,bfloat16,bfloat16,TN,"[11, 5376]","[5376, 1]",True,"[11, 7168]","[7168, 1]",True
text_refiner/V/Dgrad/11x5376x7168/bfloat16,A,text_refiner,V,Dgrad,11,5376,7168,bfloat16,bfloat16,NN,"[11, 7168]","[7168, 1]",True,"[7168, 5376]","[5376, 1]",True
text_refiner/V/Wgrad/7168x5376x11/bfloat16,A,text_refiner,V,Wgrad,7168,5376,11,bfloat16,bfloat16,TN,"[11, 7168]","[7168, 1]",True,"[11, 5376]","[5376, 1]",True
text_refiner/K/Dgrad/11x5376x7168/bfloat16,A,text_refiner,K,Dgrad,11,5376,7168,bfloat16,bfloat16,NN,"[11, 7168]","[7168, 1]",True,"[7168, 5376]","[5376, 1]",True
text_refiner/K/Wgrad/7168x5376x11/bfloat16,A,text_refiner,K,Wgrad,7168,5376,11,bfloat16,bfloat16,TN,"[11, 7168]","[7168, 1]",True,"[11, 5376]","[5376, 1]",True
text_refiner/Q/Dgrad/11x5376x7168/bfloat16,A,text_refiner,Q,Dgrad,11,5376,7168,bfloat16,bfloat16,NN,"[11, 7168]","[7168, 1]",True,"[7168, 5376]","[5376, 1]",True
text_refiner/Q/Wgrad/7168x5376x11/bfloat16,A,text_refiner,Q,Wgrad,7168,5376,11,bfloat16,bfloat16,TN,"[11, 7168]","[7168, 1]",True,"[11, 5376]","[5376, 1]",True
main_transformer/FFN-GateUp/Fwd/18866x28672x5376/float32,B,main_transformer,FFN-GateUp,Fwd,18866,28672,5376,float32,bfloat16(autocast),NT,"[18866, 5376]","[5376, 1]",True,"[28672, 5376]","[5376, 1]",True
main_transformer/FFN-GateUp/Dgrad/18866x5376x28672/bfloat16,B,main_transformer,FFN-GateUp,Dgrad,18866,5376,28672,bfloat16,bfloat16,NN,"[18866, 28672]","[28672, 1]",True,"[28672, 5376]","[5376, 1]",True
