scope,op_role,kind,m,n,k,dtype,executed_dtype,median_ms,p20_ms,p80_ms,tflops,kernel_name,backend,warmup,repeat
text_refiner,Q,Fwd,11,7168,5376,float32,bfloat16(autocast),0.27136000990867615,0.2693119943141937,0.2744320034980774,3.124165923657325,,,10,30
text_refiner,K,Fwd,11,7168,5376,float32,bfloat16(autocast),0.27033600211143494,0.2693119943141937,0.27136000990867615,3.135999975506555,,,10,30
text_refiner,V,Fwd,11,7168,5376,float32,bfloat16(autocast),0.27033600211143494,0.2693119943141937,0.27136000990867615,3.135999975506555,,,10,30
text_refiner,O,Fwd,11,5376,7168,float32,bfloat16(autocast),0.2611199915409088,0.26009601354599,0.26214399933815,3.246682458118807,,,10,30
text_refiner,FFN-GateUp,Fwd,11,28672,5376,float32,bfloat16(autocast),0.9379839897155762,0.9359359741210938,0.9410560131072998,3.6153013496832473,,,10,30
text_refiner,FFN-Down,Fwd,11,5376,14336,bfloat16,bfloat16,0.15564799308776855,0.15360000729560852,0.15667200088500977,10.893474167982978,,,10,30
main_transformer,AdaLN-block,Fwd,2,96768,2688,bfloat16,bfloat16,0.419840008020401,0.4177919924259186,0.4208639860153198,2.478204830706468,,,10,30
main_transformer,Q,Fwd,18866,7168,5376,float32,bfloat16(autocast),7.184383869171143,7.18233585357666,7.186431884765625,202.3846422259377,,,10,30
main_transformer,K,Fwd,18866,7168,5376,float32,bfloat16(autocast),7.1833600997924805,7.18233585357666,7.184383869171143,202.41348599773033,,,10,30
main_transformer,V,Fwd,18866,7168,5376,float32,bfloat16(autocast),7.184383869171143,7.18233585357666,7.236608028411865,202.3846422259377,,,10,30
main_transformer,O,Fwd,18866,5376,7168,float32,bfloat16(autocast),7.28166389465332,7.220223903656006,7.310336112976074,199.68086690236134,,,10,30
main_transformer,FFN-GateUp,Fwd,18866,28672,5376,float32,bfloat16(autocast),27.69817543029785,27.695104598999023,27.701248168945312,209.97902372811484,,,10,30
main_transformer,FFN-Down,Fwd,18866,5376,14336,bfloat16,bfloat16,13.050880432128906,13.049856185913086,13.06726360321045,222.82158916979932,,,10,30
final,AdaLN-out,Fwd,2,10752,2688,bfloat16,bfloat16,0.06348799914121628,0.062463998794555664,0.06451199948787689,1.8209032504372804,,,10,30
final,AdaLN-out,Dgrad,2,2688,10752,bfloat16,bfloat16,0.06348799914121628,0.062463998794555664,0.06348799914121628,1.8209032504372804,,,10,30
final,AdaLN-out,Wgrad,10752,2688,2,bfloat16,bfloat16,0.07168000191450119,0.07065600156784058,0.07168000191450119,1.6127999569237241,,,10,30
main_transformer,FFN-Down,Dgrad,18866,14336,5376,bfloat16,bfloat16,13.243391990661621,13.2423677444458,13.245439529418945,219.582560117721,,,10,30
main_transformer,FFN-Down,Wgrad,5376,14336,18866,bfloat16,bfloat16,12.963839530944824,12.783616065979004,12.965888023376465,224.31764223944072,,,10,30
main_transformer,FFN-GateUp,Dgrad,18866,5376,28672,bfloat16,bfloat16,26.637311935424805,26.613759994506836,26.640384674072266,218.34169491288978,,,10,30
main_transformer,FFN-GateUp,Wgrad,28672,5376,18866,bfloat16,bfloat16,25.90003204345703,25.89900779724121,25.90105628967285,224.55709035978856,,,10,30
main_transformer,O,Dgrad,18866,7168,5376,bfloat16,bfloat16,6.718463897705078,6.716415882110596,6.719488143920898,216.41985148906832,,,10,30
main_transformer,O,Wgrad,5376,7168,18866,bfloat16,bfloat16,6.497280120849609,6.496255874633789,6.4983038902282715,223.78732822525564,,,10,30
main_transformer,V,Dgrad,18866,5376,7168,bfloat16,bfloat16,6.564864158630371,6.561791896820068,6.5669121742248535,221.48347990788437,,,10,30
main_transformer,V,Wgrad,7168,5376,18866,bfloat16,bfloat16,6.496255874633789,6.405119895935059,6.497280120849609,223.82261213779026,,,10,30
main_transformer,K,Dgrad,18866,5376,7168,bfloat16,bfloat16,6.560768127441406,6.560768127441406,6.562816143035889,221.62175689373737,,,10,30
main_transformer,K,Wgrad,7168,5376,18866,bfloat16,bfloat16,6.497280120849609,6.409215927124023,6.4983038902282715,223.78732822525564,,,10,30
main_transformer,Q,Dgrad,18866,5376,7168,bfloat16,bfloat16,6.654975891113281,6.560768127441406,6.659071922302246,218.48448180219705,,,10,30
main_transformer,Q,Wgrad,7168,5376,18866,bfloat16,bfloat16,6.508543968200684,6.496255874633789,6.514688014984131,223.40003633377424,,,10,30
main_transformer,AdaLN-block,Dgrad,2,2688,96768,bfloat16,bfloat16,0.38707199692726135,0.38604798913002014,0.3891200125217438,2.6880000213384627,,,10,30
main_transformer,AdaLN-block,Wgrad,96768,2688,2,bfloat16,bfloat16,0.4700160026550293,0.4689919948577881,0.49561598896980286,2.213647046319066,,,10,30
text_refiner,FFN-Down,Dgrad,11,14336,5376,bfloat16,bfloat16,0.13209599256515503,0.131071999669075,0.13312000036239624,12.835721652673818,,,10,30
text_refiner,FFN-Down,Wgrad,5376,14336,11,bfloat16,bfloat16,0.15564799308776855,0.14745600521564484,0.15667200088500977,10.893474167982978,,,10,30
text_refiner,FFN-GateUp,Dgrad,11,5376,28672,bfloat16,bfloat16,0.24371199309825897,0.24268800020217896,0.24473600089550018,13.91435333522052,,,10,30
text_refiner,FFN-GateUp,Wgrad,28672,5376,11,bfloat16,bfloat16,0.26419198513031006,0.2611199915409088,0.2734079957008362,12.835721652673818,,,10,30
text_refiner,O,Dgrad,11,7168,5376,bfloat16,bfloat16,0.07884799689054489,0.07782399654388428,0.07884799689054489,10.752000424016622,,,10,30
text_refiner,O,Wgrad,5376,7168,11,bfloat16,bfloat16,0.08089599758386612,0.08089599758386612,0.08191999793052673,10.479797781356242,,,10,30
text_refiner,V,Dgrad,11,5376,7168,bfloat16,bfloat16,0.07782399654388428,0.07782399654388428,0.07884799689054489,10.893474167982978,,,10,30
text_refiner,V,Wgrad,7168,5376,11,bfloat16,bfloat16,0.08089599758386612,0.08089599758386612,0.08191999793052673,10.479797781356242,,,10,30
text_refiner,K,Dgrad,11,5376,7168,bfloat16,bfloat16,0.07884799689054489,0.07782399654388428,0.07884799689054489,10.752000424016622,,,10,30
text_refiner,K,Wgrad,7168,5376,11,bfloat16,bfloat16,0.07884799689054489,0.07782399654388428,0.0798719972372055,10.752000424016622,,,10,30
text_refiner,Q,Dgrad,11,5376,7168,bfloat16,bfloat16,0.07782399654388428,0.07680000364780426,0.07884799689054489,10.893474167982978,,,10,30
text_refiner,Q,Wgrad,7168,5376,11,bfloat16,bfloat16,0.07884799689054489,0.07782399654388428,0.07884799689054489,10.752000424016622,,,10,30
main_transformer,FFN-GateUp,Fwd,18866,28672,5376,float32,bfloat16(autocast),27.684864044189453,27.682815551757812,27.686912536621094,210.0799854613944,ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_tn,cublas,20,100
main_transformer,FFN-GateUp,Dgrad,18866,5376,28672,bfloat16,bfloat16,26.641504287719727,26.640159606933594,26.643648147583008,218.30733629350178,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn,cublas,20,100
main_transformer,FFN-GateUp,Wgrad,28672,5376,18866,bfloat16,bfloat16,25.90105628967285,25.900127410888672,25.901952743530273,224.54821034549636,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nt,cublas,20,100
main_transformer,FFN-Down,Fwd,18866,5376,14336,bfloat16,bfloat16,13.237695693969727,13.236960411071777,13.238431930541992,219.6770484214041,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_tn,cublas,20,100
main_transformer,FFN-Down,Dgrad,18866,14336,5376,bfloat16,bfloat16,13.432479858398438,13.431936264038086,13.433600425720215,216.49151523825358,ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_nn,cublas,20,100
